millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
4668,-18.541195,5.476166,-46.28945,-163.95232,-25.310469,-19.494713,-4.063674,-0.93706864,11.448125,-171.67267,10.686359,-16.462109,100.321434,1.8394189,1.2432653,-18.97258,1.4094423,-3.811053,-3.487288,-12.67373,7.994645
4680,-20.935287,3.0278535,-44.9138,-163.8003,-23.218164,-20.075094,-4.0369883,-0.17088829,11.356291,-171.41982,11.183492,-16.953207,100.30258,1.8493756,1.2438653,-18.981796,1.4529239,-3.8044615,-3.5531654,-12.986197,7.971536
4692,-23.299026,0.57949185,-43.78485,-163.55945,-21.02841,-20.648073,-4.046295,0.55298245,11.322571,-171.10738,11.729034,-17.596651,100.2935,1.8548664,1.239232,-18.98771,1.4733562,-3.807965,-3.6293826,-13.295318,7.977556
4703,-25.666492,-1.5707203,-42.346146,-163.26985,-18.877861,-21.321026,-4.108798,1.5921648,11.277992,-170.79665,12.14191,-18.119192,100.284515,1.863948,1.2498134,-18.993683,1.5018433,-3.8057284,-3.627077,-13.463182,7.983673
4716,-27.818077,-3.4964955,-40.79047,-162.99121,-17.05966,-21.946836,-4.1486764,2.0631807,11.218267,-170.6349,12.38285,-18.448484,100.27563,1.8631822,1.259513,-19.006124,1.5220294,-3.80929,-3.609348,-13.549245,7.9780135
4728,-29.592798,-5.161694,-39.32329,-162.74625,-15.643464,-22.48634,-4.170994,1.9424801,11.257147,-170.65262,12.372161,-18.422611,100.26662,1.8767493,1.2754571,-19.015236,1.5494044,-3.8141992,-3.5817618,-13.565996,7.9612045
4741,-30.90486,-6.5104394,-38.1742,-162.57272,-14.782147,-23.031244,-4.2496705,1.5516983,11.2991085,-170.78018,12.194808,-18.199364,100.256836,1.8767356,1.2753193,-19.02123,1.546828,-3.828041,-3.5213661,-13.477552,7.8441863
4752,-31.581608,-7.01707,-36.601902,-162.29866,-14.165592,-23.649126,-4.501678,0.96839815,11.263275,-171.05582,11.962894,-17.867325,100.25765,1.8679096,1.2645767,-19.028305,1.5178504,-3.8303745,-3.3880546,-12.998743,7.670086
4765,-31.618118,-6.6558747,-35.655006,-162.00468,-13.8023,-23.563148,-4.9854903,0.76302516,11.150479,-171.2907,11.898875,-17.717285,100.23878,1.8778685,1.2651662,-19.03401,1.5451695,-3.8350437,-3.1771877,-12.033051,7.5001993
4777,-31.103882,-6.272705,-36.960217,-161.74821,-13.359158,-22.60133,-5.558033,1.6733867,10.963581,-171.27454,12.592605,-18.517626,100.23886,1.8859485,1.2857437,-19.055964,1.5789394,-3.8412287,-2.7874582,-11.159191,7.094394
4791,-30.371735,-6.8666277,-40.04591,-162.051,-13.078568,-21.36392,-5.5034966,2.288085,10.30184,-170.7998,14.174458,-20.192644,100.220955,1.903249,1.3167416,-19.06704,1.6554112,-3.847162,-2.7826297,-11.96799,7.152874
4802,-30.653448,-8.490401,-42.1801,-161.92699,-11.97292,-21.267986,-5.7062235,3.5098503,10.133321,-170.02731,15.119639,-21.665117,100.19316,1.930397,1.3484645,-19.08067,1.782515,-3.8476653,-3.378613,-13.813781,7.3724623
4814,-32.43462,-10.3382435,-40.367134,-161.37094,-9.887851,-22.377483,-5.862995,4.858561,10.104922,-169.56746,15.290292,-22.283587,100.17649,1.9389831,1.4233285,-19.094742,1.8417541,-3.8722484,-3.9113119,-15.04504,7.3723373
4827,-34.863384,-12.708728,-37.105923,-160.84372,-7.263868,-23.517586,-5.627951,4.744329,10.028173,-169.44086,15.263082,-22.274887,100.1311,1.927046,1.4512441,-19.130005,1.791011,-3.9141536,-4.0048146,-15.033806,7.589934
4840,-37.447792,-15.48479,-34.4839,-160.36676,-4.3086867,-24.206217,-5.3764973,3.9084718,10.11706,-169.5458,15.00758,-21.786951,100.076195,1.902537,1.3984782,-19.120518,1.6611712,-3.9699492,-3.892909,-14.1860695,7.6759653
4852,-37.18302,-15.668141,-31.369131,-159.66187,-1.9150672,-24.78446,-5.2808824,3.3690019,10.340742,-169.58997,14.770994,-21.367872,100.10303,1.89939,1.3738767,-19.102303,1.5975844,-3.9731355,-3.8790622,-13.540861,7.570684
4864,-39.605762,-17.922276,-31.409075,-159.93004,-0.81671846,-24.841333,-5.2294292,3.5624387,10.27758,-169.44977,14.962187,-21.570858,100.12178,1.9217079,1.4009669,-19.059055,1.6427424,-3.9656885,-3.874014,-13.427509,7.4881
4876,-41.61026,-20.048702,-30.847956,-159.77841,0.9621262,-25.74736,-5.1580243,4.2918196,10.163595,-169.13274,15.304658,-22.166801,100.12088,1.9359008,1.4072025,-19.065084,1.6792779,-3.9577384,-4.0017633,-13.629836,7.490059
4888,-43.76723,-21.303062,-27.352785,-159.46341,3.2201633,-26.992025,-5.056973,4.95431,9.971244,-168.82391,15.66943,-22.931911,100.12201,1.937036,1.4519557,-19.062212,1.7216628,-4.0002885,-4.0494266,-13.8465395,7.327477
4900,-45.33378,-21.887304,-24.23616,-159.40614,5.2974586,-27.834806,-4.434661,5.5022745,9.759165,-168.49257,16.174334,-23.9603,100.10314,1.9335526,1.4364436,-19.048388,1.7267324,-4.015102,-3.6250706,-13.990609,7.5786204
4916,-48.458824,-22.701237,-23.410267,-159.46709,6.8608465,-27.99527,-3.770636,5.6966715,9.889668,-168.23763,16.085562,-24.116137,100.12113,1.9422508,1.4474717,-19.0279,1.7470144,-4.0252624,-3.5823414,-15.148783,7.4962273
4926,-50.97212,-23.75142,-22.27377,-159.114,9.012399,-28.703522,-3.0591521,5.2532973,10.327854,-168.22867,16.11382,-24.126976,100.15822,1.9553497,1.4095441,-18.97614,1.7360885,-4.0150967,-3.4372735,-16.247053,7.3461957
4936,-52.794933,-25.100115,-20.224174,-158.24078,11.105998,-29.279686,-2.2526407,4.814576,10.46273,-168.28145,16.039122,-23.933382,100.20324,1.9762055,1.4469904,-18.908398,1.7501503,-3.987761,-3.370866,-17.279034,7.202964
4949,-54.416927,-26.138626,-16.908394,-157.18402,13.292593,-29.942282,-1.8730941,4.098415,10.902484,-168.56104,15.683073,-23.343277,100.26786,2.0006373,1.4999683,-18.858953,1.7737243,-3.9835773,-3.4151218,-18.052837,7.0593796
4962,-56.25003,-27.146982,-14.641751,-156.61374,15.1999035,-30.27672,-1.7765172,3.6698575,11.178047,-168.88808,15.592673,-23.03208,100.331696,1.997992,1.520782,-18.815605,1.7487507,-4.0139737,-3.4204323,-18.65248,6.9392815
4974,-58.296757,-28.040375,-13.179264,-156.12697,17.068602,-30.445276,-2.085462,4.0657415,11.1557665,-169.16086,15.925652,-23.346298,100.404106,2.007721,1.5130963,-18.780485,1.7614857,-3.9869413,-3.374492,-19.262077,6.817967
4987,-59.777863,-28.569326,-11.631783,-155.52278,19.056126,-30.454395,-2.771535,4.9743633,11.126787,-169.37793,16.43166,-23.886183,100.421936,2.0083303,1.5035696,-18.772411,1.7226231,-3.9660015,-3.1972435,-20.086037,6.681421
4999,-60.67747,-28.902147,-9.969556,-154.91917,21.0934,-30.30584,-3.7145686,5.853866,11.125252,-169.73694,17.03404,-24.49662,100.39475,2.0204098,1.4842786,-18.751894,1.773948,-3.9599702,-3.055507,-21.144693,6.477162
5011,-61.285812,-29.127361,-7.944605,-154.14586,23.266302,-30.12352,-4.801374,6.646948,11.203912,-170.15456,17.62501,-25.053097,100.42144,2.0396743,1.4865488,-18.7149,1.8486946,-3.9431293,-2.955772,-22.148077,6.2838135
5024,-62.177673,-29.435396,-5.492907,-153.3583,25.392603,-30.109966,-6.128356,7.5780597,11.500895,-170.70563,18.189436,-25.550106,100.49467,2.0531476,1.4941092,-18.671467,1.9317256,-3.920397,-2.841017,-22.87853,6.1341567
5036,-63.696423,-29.91114,-2.9066975,-152.59636,27.40238,-30.339294,-7.747986,8.554089,11.924656,-171.34183,18.869982,-26.031652,100.59444,2.0599911,1.4618883,-18.631319,1.9044286,-3.8795476,-2.7688096,-23.364012,6.4146523
5048,-65.328514,-30.550238,-0.5537364,-151.86673,29.180132,-30.688004,-9.51439,9.92437,11.979883,-171.82774,19.792511,-26.702246,100.66675,2.064391,1.4587331,-18.59705,1.866529,-3.8583584,-3.0585825,-24.398634,6.8199778
5061,-66.71493,-30.691212,1.3255152,-151.51573,30.55086,-31.199594,-11.684362,10.832348,12.257963,-172.53181,20.51135,-26.945154,100.71227,2.0772138,1.4756942,-18.589693,1.8943609,-3.8627882,-3.8370864,-25.817472,7.3840218
5074,-68.0587,-30.845707,2.7958822,-151.36166,31.468216,-31.66769,-13.911868,12.04381,11.826354,-173.208,21.522816,-27.74333,100.703,2.0979733,1.4675127,-18.632528,1.9170437,-3.8461895,-4.752581,-26.530739,7.5292187
5086,-72.85417,-32.26512,2.8919837,-152.138,31.25391,-32.171085,-16.085188,13.60284,10.184558,-174.07254,22.18425,-28.38622,100.66645,2.0671566,1.4291934,-18.682236,1.8636649,-3.8597522,-7.006964,-25.669836,6.518398
5098,-74.03037,-33.56262,2.7904196,-151.89783,31.927431,-33.45767,-18.35186,12.194361,8.916742,-176.42343,21.31003,-27.313639,100.647865,2.044049,1.4118255,-18.702646,1.8043163,-3.8715992,-9.820392,-23.559208,5.500752
5110,-74.29935,-33.414684,4.8918514,-151.0884,32.784374,-34.381012,-20.419485,6.1117234,10.145878,179.99098,18.461138,-22.445856,100.58482,2.0804765,1.5083101,-18.704103,2.0557575,-3.9345329,-12.395308,-17.10677,6.0795817
5123,-74.84598,-33.07838,5.8060646,-151.06284,32.901703,-35.151775,-22.179308,4.6563735,9.68804,178.10844,18.507332,-21.243895,100.54786,2.1661239,1.5005412,-18.646101,2.1025512,-3.9621875,-12.634686,-10.082811,6.5167
5134,-75.237885,-32.54667,6.088293,-150.87766,32.82237,-36.098587,-24.016996,5.6121683,9.475126,177.99123,19.80449,-22.352402,100.65693,2.0460453,1.3376688,-18.695068,1.8080193,-3.8933506,-12.677672,-10.055589,6.6101084
5147,-74.53714,-31.632664,6.7650228,-150.63976,32.41002,-36.946148,-25.266478,7.4423046,9.55548,178.19029,20.493773,-23.729572,100.65734,2.0423625,1.3770566,-18.718105,1.8153744,-3.8880522,-13.414208,-14.097564,6.1949306
5159,-73.531265,-30.631788,6.346024,-150.80055,31.399921,-37.533455,-25.594883,9.588355,9.161456,179.0525,21.496964,-25.727055,100.55689,2.1829312,1.5320624,-18.697407,2.19627,-3.9435487,-14.393616,-17.136198,5.7530046
5173,-71.80293,-29.77844,4.8841524,-151.12231,30.14346,-38.078373,-26.150637,12.167201,8.778766,-179.90579,22.187693,-27.488596,100.52015,2.3563826,1.5967646,-18.677067,2.4529853,-3.978277,-14.601582,-17.429743,6.0340586
5184,-69.12332,-28.96139,2.6348763,-151.85365,28.388754,-38.53616,-25.896778,13.078081,8.269934,-179.597,22.223558,-28.070354,100.51179,2.2480578,1.5867116,-18.691378,2.411102,-3.971712,-14.327668,-16.19137,6.297753
5197,-66.1865,-28.042688,-0.35539478,-152.73547,26.400227,-38.912228,-25.241442,11.040539,8.543482,179.83397,21.593966,-27.048088,100.52079,2.1037652,1.4794102,-18.723787,2.165358,-3.9531808,-13.928455,-14.805214,6.057794
5209,-63.09034,-26.876413,-3.0340986,-153.41127,24.55245,-39.24646,-24.591845,8.677628,9.279585,178.95413,20.515343,-25.19023,100.53862,2.095454,1.4591523,-18.705626,2.094904,-3.9553783,-13.731753,-13.932043,5.809392
5220,-60.269306,-25.699179,-5.192717,-153.91478,22.753222,-39.490185,-23.872192,7.1811895,9.57086,178.65866,19.927507,-24.167944,100.55779,2.1264954,1.5517135,-18.68984,2.2309966,-3.9491103,-13.68467,-13.460489,5.7488136
5233,-57.93312,-24.656576,-6.8309093,-154.10222,21.134363,-39.67182,-23.336302,7.194045,9.578435,178.90579,19.85813,-24.210932,100.53071,2.1421714,1.5476285,-18.672388,2.3118412,-3.933502,-13.701208,-13.282163,5.7513924
5245,-55.90415,-23.575571,-7.7728004,-153.84322,19.898933,-39.477764,-22.995953,8.173181,9.447959,179.48067,20.105537,-24.91155,100.54014,2.1672547,1.5451181,-18.681581,2.3702757,-3.9222138,-13.780687,-13.465879,5.7325425
5258,-54.100094,-22.624245,-9.071675,-153.56592,18.972788,-38.994858,-22.72234,9.244698,9.210878,-179.85567,20.523697,-25.697031,100.52992,2.1842885,1.5216882,-18.674068,2.450958,-3.9069467,-13.949559,-13.840553,5.6974974
5271,-52.453297,-22.598955,-10.992595,-153.49915,18.107107,-38.680817,-22.569069,9.811486,9.076087,-179.46536,20.7177,-26.096851,100.511475,2.246316,1.5517967,-18.693682,2.5904467,-3.916346,-14.005014,-13.996343,5.5303226
5316,-31.598995,15.2792,-6.6618705,-153.267,16.584755,-41.395054,-22.351292,8.826757,9.166345,-179.80057,20.151766,-25.209002,100.49375,2.8171337,1.504198,-19.196348,1.6982297,-3.8642812,-13.008883,-15.841268,5.7709465
5358,-25.891188,21.92324,-4.256076,175.10272,-15.463368,-69.3442,-22.339523,11.510674,8.765613,178.8428,16.934757,-20.159443,100.118,2.0941474,1.3019959,-19.121681,1.8983607,-3.8255045,-13.096467,-15.063459,5.5698442
5371,-25.110447,23.572823,-3.148013,173.59355,-15.948947,-69.93234,-22.229643,11.093919,9.137149,178.5856,16.521524,-19.53421,100.18182,2.1033137,1.2494032,-19.103395,1.8117387,-3.8389642,-12.922076,-14.85867,5.659845
