millis,A0,A1,A2,B0,B1,B2
4620,-164.30325,3.206005,5.694592,12.009515,32.985355,-9.578428
4629,-164.31097,3.1965137,5.7142544,12.450691,32.073685,-5.657102
4638,-164.31915,3.1850576,5.747755,14.121161,30.591784,-0.94090086
4652,-164.32724,3.1893966,5.769309,16.94677,28.442188,4.3686247
4660,-164.32819,3.2160647,5.780002,20.621996,25.420885,10.039325
4669,-164.3302,3.227085,5.803021,24.687271,21.570438,15.671317
4681,-164.32312,3.2415156,5.798138,28.857754,17.377901,20.861172
4689,-164.30841,3.249641,5.7855434,32.8603,13.46063,25.184807
4699,-164.30133,3.2640727,5.7806644,36.46438,10.286447,28.248035
4712,-164.27936,3.2797234,5.7622547,39.3122,8.150942,29.727169
4719,-164.26535,3.2889931,5.743126,41.060905,7.247375,29.478144
4730,-164.25014,3.2991066,5.7167063,41.546833,7.769962,27.543278
4739,-164.25578,3.3171046,5.690406,40.964485,9.834793,24.212265
4749,-164.24135,3.3204648,5.6634135,39.441982,13.317401,19.79987
4760,-164.23268,3.2499819,5.660992,36.85532,17.501637,14.591793
4770,-164.21523,3.2046657,5.6266,33.371445,21.62422,8.901404
4780,-164.2064,3.1806054,5.5952716,29.454544,25.32628,3.090719
4792,-164.21297,3.1760354,5.5803385,25.388046,28.434578,-2.5877163
4799,-164.22025,3.1684995,5.58616,21.29518,30.591068,-7.884387
4810,-164.22768,3.1678765,5.592933,17.371937,31.602392,-12.495054
4819,-164.24144,3.1595774,5.6051645,13.966067,31.7697,-16.11324
4832,-164.25677,3.1563652,5.6325474,11.414437,31.595697,-18.442875
4839,-164.26472,3.1458776,5.6591268,9.91967,31.399046,-19.151299
4849,-164.27278,3.1502037,5.6806846,9.6292715,31.237442,-18.03976
4859,-164.27527,3.1513457,5.7235107,10.557328,30.782364,-15.167345
4870,-164.27008,3.1885035,5.757011,12.598972,29.596228,-10.736038
4879,-164.25874,3.270843,5.7690525,15.673397,27.69047,-4.959553
4889,-164.20023,3.4247224,5.806863,19.63459,25.273417,1.6981953
4899,-164.20207,3.4780223,5.828298,24.233738,22.409771,8.741117
4909,-164.20189,3.4711118,5.827348,29.063416,18.956514,15.697182
4921,-164.20317,3.4850926,5.82963,33.60971,14.979083,22.085152
4929,-164.203,3.4781823,5.82868,37.506664,11.033719,27.450245
4939,-164.19571,3.4857044,5.822876,40.67215,7.8927436,31.338924
4949,-164.18843,3.4932263,5.8170714,43.108788,6.118531,33.36731
4959,-164.16628,3.5167923,5.792752,44.55098,5.867919,33.296112
4969,-164.15144,3.5328393,5.7742386,44.676212,7.085213,31.20213
4979,-164.14406,3.5482728,5.762479,43.6257,9.68953,27.557138
4989,-164.14395,3.5561795,5.7565155,41.67358,13.622579,22.73081
4999,-164.13733,3.5648699,5.744181,38.7216,18.334969,17.069426
5009,-164.1296,3.5664864,5.7305164,34.787624,22.977133,11.034028
5019,-164.13527,3.5765994,5.710177,30.298315,26.998585,5.1760573
5030,-164.13516,3.5845063,5.704215,25.6807,30.208103,-0.056529105
5039,-164.13503,3.5775964,5.7032604,21.195635,32.387955,-4.444156
5049,-164.14249,3.5769753,5.710008,17.079319,33.31867,-7.8325977
5059,-164.14232,3.570065,5.7090545,13.69142,33.1941,-10.076742
5070,-164.14963,3.5625346,5.71485,11.370485,32.425568,-11.163921
5079,-164.14989,3.5615387,5.7217665,10.392483,31.335783,-11.1442375
5089,-164.14989,3.5615387,5.7217665,10.667272,29.891666,-10.212797
5099,-164.15718,3.5540092,5.727563,11.987119,27.906298,-8.716506
5109,-164.17204,3.5379574,5.746074,14.245555,25.566679,-6.651134
5122,-164.1723,3.5369627,5.752991,17.311367,23.187828,-4.1643853
5133,-164.17961,3.5294359,5.7587905,20.960909,20.731943,-1.4475712
5139,-164.17961,3.5294359,5.7587905,24.680302,18.030214,1.4947009
5151,-164.17961,3.5294359,5.7587905,28.189146,15.388873,4.697426
5159,-164.17961,3.5294359,5.7587905,31.281036,13.523747,8.03417
5170,-164.1792,3.5235193,5.750922,33.6557,12.998301,11.187287
5179,-164.17204,3.5379574,5.746074,35.15869,13.678777,13.684556
5190,-164.1646,3.5385747,5.7393236,35.54607,14.987386,15.003856
5203,-164.16449,3.5464807,5.73336,34.764275,16.514036,14.692547
5210,-164.1718,3.538952,5.7391577,33.193577,17.974371,12.81496
5219,-164.17935,3.5304303,5.7518735,31.122698,19.13051,9.227933
5229,-164.19359,3.5053246,5.7828956,28.66894,19.914062,4.158914
5240,-164.20105,3.4819937,5.800631,25.824234,20.29263,-1.8208239
5249,-164.20065,3.476076,5.7927647,22.614182,20.08862,-8.437706
5259,-164.20082,3.482987,5.793715,19.186237,19.107151,-15.162846
5271,-164.20132,3.481001,5.807548,15.667021,17.274723,-21.542728
5283,-164.20836,3.4744713,5.806436,12.180023,14.9835205,-27.456446
5290,-164.20811,3.4754636,5.799519,9.072624,13.134958,-32.881065
5300,-164.20793,3.468553,5.798569,6.5773506,12.046503,-38.18401
5310,-164.20836,3.4744713,5.806436,4.5272655,11.004487,-43.402103
5320,-164.21582,3.4738603,5.813191,2.8448958,9.435995,-48.11656
5330,-164.21632,3.4718764,5.8270245,1.557561,7.3886566,-52.40478
5340,-164.22452,3.468292,5.8545294,0.73140645,5.4159555,-56.534954
5349,-164.21097,3.4755867,5.8492684,0.5507704,4.20134,-60.45496
5360,-164.21156,3.5111337,5.847099,0.8914402,3.6793334,-64.129524
5370,-164.21275,3.5822248,5.842757,1.5223166,3.4877195,-67.50379
5380,-164.243,3.6311452,5.8556304,2.3069036,3.5749178,-70.198166
5390,-164.26384,3.6390426,5.855677,3.1896868,4.0687275,-72.08735
5400,-164.2636,3.640033,5.84876,4.1737137,5.0408688,-73.27025
