millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
11476,-136.82024,-23.386992,-17.527637,-98.17039,-56.091698,-24.336018,-90.96767,48.28011,-3.4468021,-87.83666,-8.52723,0.61422896
11485,-136.86476,-23.387558,-17.532366,-98.895164,-55.55448,-24.566605,-90.96767,48.28011,-3.4468021,-87.83731,-8.517367,0.61442846
11516,-137.00803,-23.39458,-17.54052,-98.678444,-54.817753,-26.12849,-90.97677,48.279655,-3.450859,-87.82659,-8.517223,0.6038319
11525,-137.05336,-23.391903,-17.536789,-98.44025,-54.87802,-26.759964,-90.97677,48.279655,-3.450859,-87.82576,-8.527472,0.60328215
11536,-137.09784,-23.39248,-17.541515,-98.29462,-55.006916,-27.383768,-90.97669,48.2774,-3.452796,-87.815254,-8.536984,0.6026944
11545,-137.14087,-23.395924,-17.539783,-98.35199,-55.247578,-27.930235,-90.97669,48.2774,-3.452796,-87.814415,-8.547234,0.6021428
11556,-137.18533,-23.396507,-17.544508,-98.71809,-55.552963,-28.343884,-90.976654,48.2708,-3.4503806,-87.80308,-8.566995,0.601
11565,-137.22835,-23.399948,-17.542774,-99.47089,-55.613373,-28.763292,-90.98584,48.27259,-3.452502,-87.802246,-8.577245,0.60044575
11576,-137.27487,-23.401377,-17.548962,-100.57402,-55.308228,-29.24809,-90.98957,48.267925,-3.4571645,-87.79173,-8.586754,0.5998539
11591,-137.31786,-23.40482,-17.547222,-102.12473,-54.693333,-29.728615,-90.989525,48.261326,-3.4547482,-87.79156,-8.592168,0.6043301
11596,-137.36234,-23.40541,-17.551943,-104.24309,-53.85456,-30.152328,-90.989525,48.261326,-3.4547482,-87.781494,-8.592206,0.6035882
11605,-137.4053,-23.40886,-17.550201,-106.312584,-52.784336,-30.624449,-90.989525,48.261326,-3.4547482,-87.77164,-8.591854,0.6031988
11615,-137.44829,-23.4123,-17.548458,-107.96501,-51.492626,-31.18204,-90.98944,48.25908,-3.4566813,-87.77209,-8.582383,0.60305184
11625,-137.49126,-23.415743,-17.54671,-109.34817,-50.117725,-31.695953,-90.998665,48.256504,-3.4544523,-87.76286,-8.57217,0.60286874
