millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
2936,-167.5816,-1.0609888,-87.714516,-166.64983,8.104616,-80.12625,-49.030457,-2.5079162,34.44109,125.519226,1.9062212,27.154167,116.871475,-14.434446,3.9774442,55.87508,-38.577606,12.126955
2946,-167.30765,-1.0290076,-87.70997,-166.66403,8.049085,-80.17726,-49.032364,-2.496986,34.44337,125.56792,1.8648514,27.15699,116.857895,-14.465912,3.9815578,55.88422,-38.556713,12.123866
2955,-167.52074,-0.96756625,-87.67996,-166.74884,8.011157,-80.21704,-49.031506,-2.4541545,34.45455,125.605156,1.794485,27.160326,116.82994,-14.514421,3.996895,55.908363,-38.55754,12.124618
2965,-168.21457,-0.8371741,-87.606544,-166.9095,8.002238,-80.245575,-49.023872,-2.4270825,34.46369,125.64989,1.7191,27.17236,116.80579,-14.54748,4.011159,55.922657,-38.568268,12.121715
2977,-169.31358,-0.6101015,-87.49733,-167.18896,8.018924,-80.26602,-49.033764,-2.4153218,34.46789,125.70565,1.6399614,27.180635,116.80408,-14.553383,4.0146866,55.943455,-38.5837,12.123995
2987,-170.54007,-0.28215617,-87.34068,-167.58543,8.062212,-80.287315,-49.038845,-2.4333708,34.461803,125.75113,1.582516,27.182537,116.8151,-14.541624,4.0063314,55.963257,-38.592995,12.129542
3016,-172.98067,1.4007635,-86.24019,-169.35844,8.280635,-80.38461,-49.68732,-3.4404967,34.144836,125.91355,1.5988075,27.180166,116.87429,-14.470261,3.9736598,56.048065,-38.651615,12.116374
3027,-173.25198,2.2007275,-85.722145,-169.94484,8.396162,-80.414185,-49.691185,-3.4436705,34.138832,125.96327,1.6081204,27.175966,116.87217,-14.479799,3.9712145,56.07716,-38.718025,12.125439
3037,-173.376,3.0366635,-85.188835,-170.42763,8.530632,-80.426476,-49.704628,-3.4630406,34.12598,126.00467,1.5749896,27.175646,116.861176,-14.491567,3.9795601,56.106705,-38.780464,12.140997
3048,-173.35907,3.8647184,-84.61859,-170.82784,8.6622305,-80.41863,-49.717194,-3.4811606,34.130005,126.04371,1.5350034,27.177206,116.84811,-14.506339,3.9812782,56.122185,-38.812775,12.150378
3059,-173.25235,4.6975856,-84.05407,-171.1521,8.79575,-80.40134,-49.72809,-3.5122893,34.123013,126.09417,1.5240016,27.178322,116.84766,-14.516502,3.9794948,56.13777,-38.796616,12.1524725
3069,-172.87505,5.6577244,-83.32399,-171.12321,9.203967,-80.10062,-49.735493,-3.5122983,34.133198,126.133446,1.4900063,27.176529,116.85563,-14.512917,3.9841678,56.13086,-38.73331,12.14984
3080,-172.45775,6.584743,-82.58714,-171.02917,9.629402,-79.76917,-49.742344,-3.5173957,34.13807,126.18387,1.4790039,27.177612,116.84542,-14.517413,4.0044575,56.124157,-38.65059,12.138124
3090,-172.09001,7.4067845,-81.94682,-171.00186,9.952307,-79.532715,-49.760212,-3.534859,34.12452,126.232216,1.467144,27.177294,116.80902,-14.55797,4.0323763,56.1329,-38.585117,12.121281
3120,-171.03983,9.365706,-80.31415,-170.97075,10.825134,-78.80055,-49.77114,-3.4504988,34.131054,126.38152,1.4392749,27.175774,116.8688,-14.57807,3.9711046,56.17932,-38.584175,12.118438
3131,-170.81616,9.801424,-79.90499,-171.07559,11.069482,-78.55055,-49.72997,-3.330737,34.169373,126.43256,1.4374673,27.179497,116.844635,-14.61114,3.985366,56.200027,-38.59963,12.120671
3141,-170.67322,10.166201,-79.53541,-171.24162,11.303295,-78.29502,-49.70599,-3.2596354,34.2392,126.48313,1.4324608,27.177256,116.84208,-14.624312,3.9769514,56.221687,-38.606667,12.120526
3152,-170.5622,10.5073595,-79.176056,-171.41571,11.532033,-78.041885,-49.65599,-3.1853786,34.28454,126.54294,1.4555869,27.173319,116.86797,-14.585334,3.9591634,56.229813,-38.594166,12.119882
3163,-170.48715,10.795084,-78.877464,-171.556,11.7633505,-77.79298,-49.57934,-3.0879722,34.310802,126.57741,1.4634461,27.173433,116.90526,-14.530947,3.9390109,56.24538,-38.57798,12.122042
3173,-170.45746,11.059994,-78.60219,-171.73878,11.956525,-77.578636,-49.49983,-2.9660895,34.384872,126.62224,1.520636,27.168032,116.93068,-14.495579,3.9152768,56.25444,-38.557068,12.119043
3184,-170.42525,11.375217,-78.27733,-171.98221,12.151491,-77.347176,-49.49677,-2.9507449,34.41004,126.688896,1.6237885,27.168652,116.94337,-14.477892,3.9034142,56.27292,-38.544743,12.112259
3195,-170.29027,11.777895,-77.8826,-172.31856,12.363448,-77.081406,-49.435688,-2.8110266,34.442688,126.74478,1.7071402,27.172274,116.94166,-14.483804,3.9069376,56.28419,-38.5516,12.118272
3205,-170.15138,12.1127825,-77.57874,-172.63062,12.567221,-76.87181,-49.399788,-2.7095594,34.47469,126.80859,1.8034126,27.17486,116.91763,-14.510357,3.9169908,56.30917,-38.558563,12.115725
3215,-170.00487,12.395187,-77.34343,-172.98834,12.7399645,-76.71625,-49.393322,-2.6973805,34.48372,126.90576,1.9132353,27.159292,116.90486,-14.5345745,3.933039,56.32237,-38.56315,12.116073
3226,-169.8224,12.71389,-77.067726,-173.4486,12.982169,-76.48539,-49.389484,-2.6734204,34.48684,127.00174,2.0227962,27.128647,116.89001,-14.561794,3.9424636,56.33889,-38.553097,12.114957
3236,-169.67717,13.041953,-76.76959,-174.10912,13.230591,-76.23712,-49.38434,-2.6553543,34.49291,127.06274,2.076634,27.139105,116.889595,-14.565424,3.9364922,56.34265,-38.53453,12.120045
3247,-169.56828,13.371886,-76.46228,-174.99725,13.47901,-75.97921,-49.399384,-2.6616511,34.491043,127.13462,2.186433,27.127123,116.901024,-14.550018,3.9341164,56.366405,-38.51983,12.105221
3277,-169.19211,14.362983,-75.527885,-170.1141,13.045254,-75.969574,-49.383984,-2.586634,34.50636,127.30572,2.3310559,27.1084,116.901825,-14.542762,3.9460595,56.42753,-38.540623,12.106127
3287,-169.2348,14.592485,-75.30822,-169.87572,12.80465,-76.129265,-49.374477,-2.5496604,34.510296,127.364044,2.3542306,27.104979,116.88829,-14.5677,3.9459875,56.456593,-38.587658,12.105908
3297,-169.38333,14.864505,-75.03899,-169.66362,12.523256,-76.32655,-49.370647,-2.525703,34.513397,127.41433,2.3584473,27.10582,116.88609,-14.583775,3.9477246,56.487812,-38.63339,12.116527
3307,-169.57498,15.105397,-74.79944,-169.46547,12.21313,-76.56924,-49.3725,-2.5147624,34.515648,127.46488,2.3807747,27.096909,116.88616,-14.577238,3.94354,56.49468,-38.63421,12.128224
3318,-169.81319,15.258687,-74.64519,-169.27373,11.906134,-76.821815,-49.371246,-2.499838,34.51571,127.522934,2.39792,27.096788,116.88829,-14.5677,3.9459875,56.49959,-38.58776,12.121994
3329,-170.00392,15.359456,-74.54158,-169.0917,11.610646,-77.070015,-49.37257,-2.4939454,34.51275,127.57378,2.4233773,27.093882,116.89043,-14.558163,3.9484346,56.49898,-38.528126,12.108282
3340,-170.15387,15.397171,-74.49726,-168.84213,11.432607,-77.24547,-49.371323,-2.47902,34.512806,127.62263,2.4600358,27.083141,116.877754,-14.569305,3.956122,56.50292,-38.475517,12.105385
3351,-170.15752,15.369157,-74.51798,-168.65492,11.149466,-77.546646,-49.374493,-2.4621902,34.512093,127.68221,2.4810073,27.075222,116.87383,-14.591284,3.9613848,56.514877,-38.443836,12.094473
3362,-170.00809,15.309638,-74.56981,-168.47803,10.812083,-77.80432,-49.376057,-2.449184,34.52303,127.73026,2.4903913,27.071522,116.8624,-14.606682,3.9637666,56.53037,-38.44221,12.095744
3371,-170.0966,15.234894,-74.60204,-168.21208,10.484452,-77.99093,-49.358543,-2.4130473,34.525017,127.79002,2.5023854,27.076088,116.8713,-14.604452,3.9529676,56.559376,-38.47469,12.096464
3383,-170.33615,14.936325,-74.812706,-167.90692,10.143977,-78.18838,-49.388268,-2.4535532,34.51028,127.84005,2.512659,27.073767,116.894066,-14.580187,3.9523935,56.588387,-38.50718,12.097168
3393,-170.50722,14.46083,-75.19223,-167.59358,9.793038,-78.39467,-49.388268,-2.4535532,34.51028,127.88802,2.5280983,27.066858,116.885254,-14.575883,3.9590058,56.606964,-38.539516,12.104007
3403,-170.80171,13.922635,-75.61915,-167.29282,9.415117,-78.65056,-49.38319,-2.4146717,34.513416,127.938416,2.5475261,27.067305,116.86453,-14.597145,3.9662127,56.627544,-38.54043,12.107159
3414,-171.02083,13.398831,-76.0469,-167.03905,9.060508,-78.91438,-49.383793,-2.3888109,34.515694,127.997185,2.5533295,27.059954,116.8606,-14.619125,3.9714777,56.637512,-38.525604,12.100939
3443,-171.76126,0.61847913,-88.25348,-166.16469,8.300232,-79.43079,-49.391346,-2.3608916,34.53676,128.15125,2.5537162,27.05822,116.854996,-14.640474,3.9760807,56.69093,-38.520947,12.100957
3454,-170.4086,0.44831246,-88.36763,-165.88792,8.101344,-79.54518,-49.393265,-2.329138,34.536057,128.20146,2.5792048,27.0555,116.85715,-14.630937,3.9785266,56.709476,-38.538734,12.108753
3465,-168.22742,0.2957973,-88.47272,-165.60437,7.9190364,-79.64743,-49.385033,-2.3070872,34.5399,128.2512,2.6016183,27.04681,116.876976,-14.623476,3.9635587,56.730003,-38.554214,12.110901
3475,-164.11324,0.14780936,-88.594925,-165.31253,7.7504106,-79.75781,-49.393265,-2.329138,34.536057,128.30846,2.6187797,27.046898,116.88801,-14.611705,3.9552066,56.745403,-38.552586,12.112149
