millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
3075,-9.190906,3.599388,6.0012937,-46.478577,10.964443,7.129906,150.85449,35.872517,1.3162621,147.87112,-11.7502165,-4.952604,90.51906,78.75836,8.948541,89.01196,82.05991,2.6426787,-83.83176,-34.510048,35.553288,-78.864685,-60.737762,6.4770484,-114.4397,-73.42673,4.750355,-87.556885,-69.18266,2.5023265
3096,-9.185163,3.6199234,5.9998245,-46.439747,10.8927,6.6515446,150.81299,35.901928,1.3373054,148.06104,-11.694428,-5.2740016,90.5268,78.759674,8.951576,88.968864,82.06369,2.6143522,-83.77005,-34.523125,35.532993,-78.87361,-60.756927,6.4516716,-114.43923,-73.41163,4.743034,-87.53018,-69.17499,2.5035365
3117,-9.17904,3.6334975,5.9989295,-46.446354,10.819655,6.0873995,150.77686,35.917835,1.3251694,148.23412,-11.658534,-5.6387715,90.515045,78.72687,8.975681,88.94065,82.06585,2.5996373,-83.70814,-34.544247,35.517017,-78.878426,-60.772808,6.4433975,-114.42206,-73.41638,4.7390413,-87.50318,-69.186295,2.5051663
3137,-9.173226,3.6535072,5.9905057,-46.536907,10.714704,5.483859,150.7369,35.89101,1.3246835,148.39626,-11.594811,-6.0096283,90.48424,78.704956,8.982971,88.922195,82.07051,2.5940113,-83.66245,-34.550648,35.50222,-78.895035,-60.783913,6.4373546,-114.42373,-73.41127,4.7421203,-87.467316,-69.17589,2.5038242
3158,-9.172917,3.647072,5.9980364,-46.679188,10.65918,4.916768,150.70438,35.869705,1.3184001,148.55724,-11.531963,-6.4156747,90.44582,78.699196,8.977384,88.898994,82.06493,2.5876637,-83.64185,-34.547802,35.508385,-78.91139,-60.7655,6.448057,-114.407715,-73.42178,4.7496147,-87.42604,-69.18307,2.4882824
3232,-9.174737,3.6813529,5.9882154,-47.815044,11.972276,2.9680626,149.53479,35.947247,1.7488927,155.31227,-9.119103,-20.405558,90.08183,78.53278,8.983017,88.37926,81.36408,2.7843623,-83.554756,-34.599663,35.537437,-78.99479,-60.013893,6.7538877,-114.163246,-73.51609,4.7395506,-86.36326,-69.171646,2.1696932
3253,-9.168164,3.6874413,5.9809403,-48.043053,12.400665,2.6212146,149.51134,35.95419,1.7701665,155.71483,-8.84566,-20.997152,90.13992,78.57243,8.977283,88.372665,81.34969,2.7941968,-83.524605,-34.62175,35.522682,-79.020134,-60.01094,6.766669,-114.14977,-73.526245,4.7417693,-86.3387,-69.18176,2.1726668
3310,-9.236905,3.5204372,5.760284,-45.28441,7.3854856,-12.48662,149.40277,35.96687,1.824842,157.22911,-7.238204,-22.542887,90.12775,78.570625,8.978997,88.42378,81.3292,2.8921072,-82.84467,-34.813854,35.502056,-79.1321,-60.00006,6.820292,-114.13761,-73.51619,4.7397738,-86.25043,-69.1722,2.1774585
3333,-9.246036,3.529572,5.780672,-44.58269,6.8976173,-13.313864,149.40819,35.958176,1.8923186,157.694,-6.93098,-23.070019,90.16244,78.58112,8.982277,88.66607,81.276726,3.13614,-82.86984,-34.804688,35.523014,-79.1635,-59.905544,6.878285,-114.119705,-73.50477,4.7086864,-86.24019,-69.1906,2.1903372
3355,-9.239754,3.5420966,5.7658477,-43.92281,6.5870137,-14.128009,149.44281,36.030293,1.992888,158.11232,-6.766109,-23.634836,90.140686,78.67912,8.901409,88.791595,81.24393,3.264356,-82.884056,-34.816513,35.53223,-79.199844,-59.866604,6.9102826,-114.13756,-73.46462,4.7012267,-86.1971,-69.14773,2.1871672
3376,-9.231277,3.546355,5.7373514,-43.452145,6.271531,-14.892246,149.38113,36.175575,2.0365982,158.46855,-6.658571,-24.229326,90.09631,78.82196,8.7719965,88.7696,81.22734,3.2710197,-82.85211,-34.826656,35.52238,-79.2251,-59.863556,6.9230423,-114.11926,-73.489624,4.701407,-86.13416,-69.12783,2.1601255
3401,-9.231141,3.545292,5.7234354,-43.22045,6.1037645,-15.61184,149.33846,36.210392,2.0492048,158.80058,-6.585364,-24.84607,90.15893,78.89755,8.734751,88.74721,81.21484,3.267397,-82.78448,-34.802982,35.51378,-79.23907,-59.853466,6.9309607,-114.12096,-73.48451,4.70449,-86.11376,-69.12707,2.1674485
3423,-9.231708,3.5538485,5.7437353,-43.206036,6.396847,-16.303843,149.3461,36.088226,2.0594397,159.14046,-6.460697,-25.428686,90.24773,78.91015,8.756737,88.73514,81.21133,3.2778304,-82.691444,-34.796505,35.48841,-79.25807,-59.835667,6.949572,-114.12513,-73.47901,4.7023354,-86.08891,-69.13444,2.1735108
3443,-9.231708,3.5538485,5.7437353,-43.34824,7.095388,-16.948353,149.33025,35.99665,2.0740647,159.50876,-6.225479,-25.962353,90.212814,78.89935,8.756214,88.72281,81.2082,3.2818272,-82.61181,-34.79696,35.46673,-79.27234,-59.830208,6.960272,-114.11486,-73.47947,4.7035036,-86.04943,-69.12646,2.1693914
3465,-9.23164,3.5533164,5.7367773,-43.666595,7.8545012,-17.53389,149.29578,36.05728,2.092101,159.91806,-5.798097,-26.44231,90.174065,78.891335,8.749257,88.715256,81.20097,3.2904477,-82.528435,-34.780712,35.456005,-79.282684,-59.82657,6.9599524,-114.12119,-73.484,4.711706,-86.01454,-69.12515,2.1630914
3487,-9.224915,3.5583527,5.7155733,-44.094643,8.543567,-18.024837,149.24055,36.143642,2.1018445,160.3172,-5.225485,-26.875246,90.19713,78.89587,8.755603,88.702805,81.19414,3.2983267,-82.4593,-34.772278,35.452393,-79.31042,-59.819633,6.9780536,-114.11093,-73.48446,4.7128735,-85.98459,-69.12155,2.167954
3508,-9.224554,3.5513904,5.716147,-44.532825,9.234119,-18.539576,149.21577,36.119083,2.1123478,160.70605,-4.516568,-27.261295,90.23183,78.89729,8.767287,88.69013,81.19102,3.3023357,-82.439186,-34.78145,35.45341,-79.3331,-59.820396,6.9854603,-114.103134,-73.48453,4.708803,-85.95437,-69.125015,2.173076
3529,-9.224624,3.5519214,5.723106,-44.94506,9.932267,-18.987997,149.20633,36.038136,2.113179,161.08084,-3.727666,-27.651955,90.223976,78.897575,8.768383,88.68766,81.193924,3.311338,-82.432205,-34.782448,35.464527,-79.35325,-59.825005,6.987521,-114.104836,-73.479416,4.7118874,-85.92374,-69.11988,2.1714458
3551,-9.224554,3.5513904,5.716147,-45.315784,10.506011,-19.438116,149.18155,36.01358,2.1237242,161.40265,-2.9110563,-28.0239,90.20062,78.89473,8.76616,88.66988,81.19491,3.3107147,-82.42022,-34.77807,35.489445,-79.3759,-59.825764,6.9949307,-114.09141,-73.489586,4.7140985,-85.888664,-69.12286,2.1685274
3572,-9.224775,3.5572898,5.7016554,-45.630825,10.883606,-19.928019,149.13219,36.064964,2.1393168,161.68648,-2.1171265,-28.388094,90.2082,78.8916,8.773405,88.65694,81.184746,3.3160608,-82.41448,-34.791035,35.495438,-79.39775,-59.833763,7.0022573,-114.08895,-73.489975,4.719336,-85.849014,-69.12966,2.1609359
3597,-9.224706,3.5567586,5.694697,-45.9007,11.212192,-20.513178,149.10403,36.087112,2.157091,161.93976,-1.3725612,-28.787209,90.2313,78.89409,8.778333,88.63365,81.17525,3.3215292,-82.37488,-34.79105,35.50525,-79.42182,-59.833267,7.012137,-114.08749,-73.494576,4.723466,-85.82754,-69.1317,2.1651294
3613,-9.224346,3.5497968,5.6952715,-46.138447,11.634045,-21.240904,149.07994,36.059063,2.161542,162.1757,-0.64884305,-29.225918,90.219604,78.89267,8.777222,88.62042,81.17215,3.325552,-82.319984,-34.78237,35.50454,-79.43602,-59.827763,7.0228324,-114.0797,-73.494644,4.7193933,-85.78312,-69.12474,2.1595194
