millis,A,B,C,D,E,F,G,H,I,J,K,L
8126,163.03273,145.24084,101.28647,116.79766,157.1256,145.6203,22.214327,75.93296,142.33728,138.15137,94.43461,
8148,161.70782,144.48036,101.07656,116.95052,157.52905,146.01555,21.616163,76.810135,141.27386,136.84428,94.00989,
8170,160.06215,143.7523,101.109924,117.21972,157.71764,146.43733,20.988432,77.09373,140.38275,135.67403,93.67295,
8190,158.31795,143.01082,101.16535,117.498215,157.83014,146.84732,20.392548,77.03058,139.44987,134.59764,93.31073,
8211,156.2825,142.22374,101.066055,117.648926,157.90715,147.21124,19.917591,77.1831,138.50642,133.60623,92.99082,
8233,154.34901,141.47095,100.889015,117.70507,158.08691,147.61674,19.474222,77.56603,137.50615,132.49915,92.65594,
8254,152.49475,140.81139,100.45189,117.65914,158.25934,148.02281,19.188826,78.198296,136.57185,131.34384,92.308945,
8276,150.90497,140.20122,100.2264,117.65141,158.37718,148.49701,18.896345,78.49414,135.78638,130.27869,92.04761,
8298,149.41747,139.61302,100.575485,117.694725,158.36955,148.92798,18.615149,77.91559,135.16263,129.33716,91.86322,
8319,147.92885,139.07361,100.98065,117.70242,158.38438,149.34268,18.379128,77.16079,134.60951,128.42393,91.70455,
8340,146.38538,138.62173,100.8696,117.59325,158.52153,149.68382,18.177126,77.203415,134.11942,127.50569,91.51452,
8362,144.87012,138.27731,100.56521,117.31999,158.77014,149.9381,18.051622,77.597725,133.69795,126.5569,91.382195,
8384,143.5671,138.05025,100.35772,117.008835,159.05931,150.16357,17.97738,77.95989,133.34015,125.645454,91.276115,
8405,142.40034,137.90526,100.303246,116.66902,159.33345,150.36375,18.00215,78.053604,133.09563,124.790764,91.2096,
8426,141.39124,137.84662,100.442024,116.35293,159.59131,150.57591,18.023928,77.8805,132.85985,124.01736,91.20497,
8447,140.52757,137.82645,100.482895,116.09052,159.8082,150.6918,18.036804,77.66659,132.66171,123.34475,91.296936,
8469,139.74054,137.88573,100.523224,115.86691,160.06944,150.81877,18.091564,77.893425,132.42076,122.65798,91.41281,
8491,139.02556,138.00027,100.48216,115.70697,160.35138,150.92345,18.183615,78.418945,132.2706,122.00848,91.513695,
8513,138.44061,138.17476,100.317024,115.56693,160.58498,151.01819,18.373343,78.85692,132.20818,121.38751,91.668465,
8534,138.01706,138.38089,100.31545,115.429405,160.90034,151.07494,18.577345,78.98389,132.25441,120.78592,91.83778,
8555,137.58543,138.60599,100.40171,115.223175,161.23297,150.99394,18.797277,78.88659,132.36139,120.26849,92.03008,
8577,137.13931,138.93895,100.477425,114.94711,161.70657,150.9021,19.133276,78.77383,132.35527,119.81606,92.10482,
8598,136.75095,139.33743,100.4398,114.66482,162.12634,150.71353,19.33727,78.835434,132.39221,119.4869,92.24616,
8619,136.41495,139.78319,100.48529,114.46522,162.47275,150.505,19.589422,78.943085,132.45645,119.21944,92.334274,
8640,136.19159,140.20114,100.42853,114.444595,162.70763,150.26735,19.78699,78.94954,132.61075,119.08925,92.46025,
8662,136.04388,140.56238,100.47247,114.66719,162.75911,150.07649,19.956491,78.737495,132.65707,119.035194,92.54554,
8684,135.97932,140.856,100.76006,115.01239,162.75572,149.84583,19.975712,78.38699,132.57591,119.04038,92.62167,
8705,135.9738,141.16808,101.28511,115.325096,162.82748,149.53278,19.940285,78.085144,132.38072,119.104515,92.63265,
8726,135.98244,141.49834,101.57405,115.57735,162.9821,149.14844,19.931358,78.09967,132.19342,119.25017,92.59811,
8748,136.05896,141.80058,101.31316,115.870316,163.06154,148.81363,19.946981,78.69829,132.0172,119.52576,92.54292,
8770,136.131,142.08368,100.614685,116.23723,163.11699,148.45145,19.958271,79.38038,131.9548,119.87506,92.52332,
8791,136.24936,142.37682,99.90724,116.49949,163.18083,148.10875,19.987375,79.7683,132.02023,120.28538,92.48184,
8813,136.3874,142.68846,99.63134,116.57626,163.30893,147.8412,20.03789,79.678444,132.15186,120.70585,92.43686,
8834,136.5441,142.89064,100.05656,116.52776,163.45346,147.6864,20.095856,79.27851,132.24127,121.048096,92.3369,
8855,136.79414,143.01163,101.16961,116.38316,163.63464,147.5039,20.156855,78.84377,132.354,121.38624,92.28151,
8879,137.05083,143.17856,102.51856,116.164536,163.86815,147.21997,20.179707,78.355965,132.5656,121.73626,92.334206,
8898,137.3394,143.39995,103.54274,115.89182,164.14789,146.92635,20.221275,77.78666,132.90265,122.145905,92.41675,
