millis,Org_Angle,Teat_Angle
13259,169.10358,159
13272,167.42422,158
13280,167.41397,157
13292,165.82162,156
13299,165.8019,156
13313,164.31783,154
13319,164.32341,154
13333,162.8659,153
13339,162.8659,152
13352,161.17635,151
13359,161.16888,150
13373,159.32518,149
13379,159.34193,148
13393,157.84767,147
13399,157.83481,147
13413,156.2721,145
13420,156.28009,145
13432,154.6513,144
13439,154.68256,143
13452,152.715,142
13459,152.73819,141
13472,150.74266,140
13479,150.69026,139
13493,148.87248,138
13498,148.8548,138
13512,147.06802,136
13519,147.06583,136
13533,145.24712,135
13538,145.25708,134
13553,143.55981,133
13559,143.55045,132
13572,141.92929,131
13579,141.9303,130
13593,140.41678,129
13599,140.42612,129
13613,138.91849,127
13619,138.90521,127
13631,137.05324,126
13638,137.05817,125
13652,135.1004,124
13659,135.10919,123
13672,133.26299,122
13679,133.25037,121
13693,131.48227,120
13698,131.48154,120
13712,129.76804,118
13719,129.7597,118
13732,127.88847,117
13738,127.88725,116
13751,125.878876,115
13759,125.88811,114
13771,124.08612,113
13779,124.08612,112
13792,122.48337,111
13799,122.485214,111
13812,120.78522,109
13818,120.78522,109
13832,118.86568,108
13839,118.87265,107
13852,116.895134,106
13858,116.89337,105
13873,115.03983,104
13878,115.04245,103
13892,113.45022,102
13899,113.45104,102
13912,111.93273,100
13919,111.93185,100
13932,110.128006,99
13938,110.14212,98
13951,108.243904,97
13959,108.26198,96
13972,106.467384,95
13978,106.47652,94
13992,104.75976,93
13998,104.78152,93
14011,103.00121,91
14019,103.04014,91
14032,101.368195,90
14038,101.4443,89
14052,99.76386,90
14058,99.81344,91
14073,98.19777,92
14078,98.26199,93
14092,97.123566,94
14099,97.19218,94
14112,96.79238,96
14118,96.830666,96
14132,96.86057,97
14138,96.84734,98
14153,97.01853,99
14158,96.97255,100
14172,97.59037,101
14178,97.53206,102
14192,98.43926,103
14198,98.35714,103
14213,99.52041,105
14218,99.52124,105
14232,100.93358,106
14237,100.89994,107
14252,102.616,108
14259,102.5577,109
14272,104.32774,110
14278,104.269646,111
14292,105.885086,112
14299,105.88039,112
14311,107.56459,114
14318,107.55381,114
14332,109.441414,115
14337,109.47444,116
14351,111.396774,117
14358,111.41084,118
14372,113.32185,119
14378,113.314156,120
14391,115.11817,121
14397,115.118126,121
14411,116.89105,123
14418,116.84239,123
14433,118.6614,124
14438,118.6614,125
14452,120.48074,126
14458,120.48842,127
