millis,真实角度,测量角度
19111,139.31009,145
19129,141.25066,147
19131,141.25037,147
19148,143.16525,149
19150,143.16554,149
19168,145.01683,150
19170,145.01657,151
19189,146.84718,152
19191,146.84718,152
19209,148.56755,154
19211,148.56755,154
19229,150.04922,156
19231,150.04922,156
19248,151.67165,158
19251,151.67165,158
19269,153.5781,159
19271,153.57796,160
19288,155.57715,161
19290,155.57724,161
19308,157.43083,163
19310,157.43076,163
19329,158.99307,165
19331,158.99307,165
19348,160.50879,167
19350,160.50708,167
19369,162.01843,168
19371,162.01843,169
19388,163.85219,170
19390,163.84416,170
19409,165.77615,172
19411,165.7741,172
19429,167.32056,174
19430,167.32056,174
19448,168.68843,176
19451,168.68843,176
19469,170.30145,177
19470,170.30145,178
19488,172.0428,179
19490,172.0428,179
19509,173.7258,181
19510,173.73093,181
20529,178.42966,178
20530,178.43277,178
20549,178.25874,176
20550,178.25056,176
20568,178.31229,175
20570,178.31229,174
20589,178.10318,173
20590,178.1208,173
20608,177.76927,171
20610,177.75432,171
20628,176.72649,169
20630,176.72272,169
20649,175.42958,167
20649,175.43979,167
20669,174.15247,166
20671,174.14224,165
20688,172.7828,164
20690,172.7876,164
20709,171.35657,162
20710,171.35657,162
20729,170.03952,160
20731,170.04616,160
20748,168.46936,158
20752,168.45923,158
20769,166.7449,157
20771,166.74437,156
20788,164.95894,155
20790,164.97258,155
20808,163.38708,153
20811,163.36559,153
20828,161.84361,151
20829,161.84361,151
20849,159.98357,149
20851,159.98357,149
20868,158.32999,148
20869,158.32999,147
20888,156.65604,146
20890,156.66087,146
20909,154.87694,144
20911,154.86147,144
20929,153.06036,142
20931,153.06168,142
20949,151.17783,140
20950,151.18176,140
20968,149.26822,139
20970,149.25824,138
20989,147.35417,137
20990,147.35136,137
21008,145.68288,135
21011,145.68288,135
21029,144.13577,133
21030,144.13577,133
21049,142.46887,131
21049,142.47028,131
21069,140.8061,130
21071,140.80507,129
21088,139.19652,128
21089,139.19737,128
21109,137.45663,126
21110,137.45663,126
21129,135.82787,124
21130,135.82755,124
21148,134.0746,122
21150,134.0746,122
21169,132.1334,121
21171,132.1341,120
21189,130.15598,119
21189,130.15448,119
21209,128.27101,117
21210,128.27211,117
21230,126.4832,115
21231,126.481865,115
21248,124.678604,113
21250,124.67818,113
21268,122.918724,112
21270,122.920525,111
21288,121.06144,110
21290,121.059425,110
21308,121.06144,108
21309,119.20014,108
21328,117.303116,106
21329,117.303116,106
21349,115.37644,104
21351,115.37644,104
21369,113.67349,103
21369,113.67349,102
21388,112.05535,101
21391,112.05586,101
21408,110.14672,99
21410,110.1462,99
21429,108.33519,97
21429,108.34226,97
21448,108.34506,95
21450,106.60272,95
21468,104.76055,94
21469,104.76731,93
21488,104.7887,92
21490,102.749115,92
21507,100.8687,90
21509,100.88346,90
22528,101.10339,91
22529,93.68684,91
22547,93.687035,92
22549,93.68009,92
22566,93.68009,94
22568,93.686226,94
22587,93.67696,96
22589,93.6839,96
22607,93.669586,98
22608,93.89526,98
22627,93.84624,99
22630,94.622,99
22647,94.51328,101
22649,95.90034,101
22667,95.87925,103
22668,97.27174,103
22686,97.25558,105
22688,98.72254,105
22708,98.718124,106
22708,100.29722,106
22726,100.2912,108
22729,102.07868,108
22748,102.07477,110
22750,103.93123,110
22767,103.9251,112
22769,105.62009,112
22787,105.61649,113
22789,107.33487,113
22808,107.33403,115
22808,109.29236,115
22827,109.29236,117
22829,111.054276,117
22847,111.053925,119
22849,112.732315,119
22867,112.732315,121
22868,114.672195,121
22886,114.672195,122
22888,116.55711,122
22907,116.55711,124
22909,118.46239,124
22930,118.45202,126
22931,120.35533,126
22946,120.36474,128
22949,122.22656,128
22966,122.216675,130
22968,124.11833,130
22988,124.11833,131
22989,125.92172,131
23006,125.93021,133
23009,127.65906,133
23028,127.66025,135
23030,129.35938,135
23047,129.35938,137
23049,131.04807,137
23066,131.04807,139
23068,132.88864,139
23086,132.88864,140
23088,134.69434,140
23107,134.69397,142
23109,136.54881,142
23126,136.54881,144
23129,138.25415,144
23146,138.25415,146
23148,139.87541,146
23167,139.87541,147
23169,141.83542,147
23186,141.83542,149
23188,143.71248,149
23206,143.71248,151
23208,145.38403,151
23227,145.38403,153
23229,147.0364,153
23247,147.03516,154
23248,148.77754,154
23267,148.77754,156
23269,150.34653,156
23286,150.34653,158
23288,151.93732,158
23307,151.93732,160
23309,153.69095,160
23326,153.69095,161
23328,155.57681,161
23346,155.57681,163
23349,157.47417,163
23366,157.4757,165
23368,159.19447,165
23386,159.19449,167
23388,160.64253,167
23407,160.64253,168
23409,162.07587,168
23427,162.07587,170
23431,163.8317,170
23446,163.8317,172
23448,165.69919,172
23467,165.7093,174
23467,167.25388,174
23487,167.25388,175
23489,168.61736,175
23507,168.6179,177
23508,170.2338,177
23528,170.2338,179
23530,171.9283,179
23546,171.9283,181
23548,173.57684,181
