millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
8538,128.45607,-27.997057,-20.864708,-43.033848,-26.664074,-61.1246,-69.95247,51.689068,-11.710547,-110.798195,-7.917229,0.67661875
8548,128.43646,-27.983217,-20.881716,-43.022884,-26.656038,-61.13407,-68.677895,50.801857,-11.266375,-110.78286,-7.8898706,0.6604784
8561,128.42575,-27.939589,-20.886156,-43.022884,-26.656038,-61.13407,-67.59039,49.961304,-10.91994,-110.75948,-7.862683,0.64368784
8569,128.39891,-27.900532,-20.869736,-43.022884,-26.656038,-61.13407,-66.2697,48.885414,-10.44995,-110.76859,-7.8488526,0.6368166
8860,128.35112,-27.880161,-20.85,-43.01062,-26.657928,-61.134426,-65.45929,48.386307,-10.093008,-110.68316,-7.855122,0.6270124
8861,128.2819,-27.880133,-20.830647,-43.01559,-26.661247,-61.13264,-65.101875,48.03391,-10.092425,-110.68248,-7.856913,0.6173065
8891,126.65961,-28.405907,-21.343456,-42.830143,-26.652477,-61.192307,-121.181694,66.9142,-17.859003,-110.61106,-7.588263,0.89744884
8906,126.50644,-28.391478,-21.34546,-42.84818,-26.655615,-61.186623,-119.67094,67.96397,-17.82938,-110.58473,-7.59418,0.8918037
8908,126.31407,-28.37763,-21.325552,-42.848507,-26.655315,-61.1843,-115.699036,70.69036,-16.452564,-110.60864,-7.609461,0.8912706
8953,126.09271,-28.383678,-21.27748,-42.866863,-26.658154,-61.17629,-111.68881,73.080414,-15.549596,-110.623215,-7.620564,0.8845929
8954,125.87867,-28.429588,-21.225376,-42.892216,-26.656082,-61.17205,-108.5222,74.126976,-15.550192,-110.58231,-7.6153746,0.8856209
9554,126.33164,-28.113853,-20.110332,-43.0651,-26.666716,-61.112602,-77.19951,59.167812,-12.909936,-110.38417,-7.381759,0.7799788
9555,126.42572,-28.006975,-19.900043,-43.098537,-26.67919,-61.096878,-76.97382,54.579147,-15.774094,-110.404945,-7.534955,0.7691898
9566,124.297424,-26.81827,-18.950693,125.86253,-17.288044,-56.99311,-73.288124,53.73894,-12.662203,-110.19542,-7.5380297,0.63562816
9577,124.14811,-26.841553,-18.972397,125.58634,-15.546919,-56.782547,-73.265,53.767735,-12.609907,-110.19542,-7.5380297,0.63562816
9587,124.01093,-26.862896,-19.005402,130.34424,-8.638096,-59.83439,-73.24449,53.789875,-12.565996,-110.18594,-7.537799,0.63522875
9596,123.88236,-26.878376,-19.049519,137.37122,-1.7627062,-62.17394,-73.22289,53.81555,-12.527414,-110.187325,-7.5381985,0.6349978
9607,123.75741,-26.892445,-19.102915,137.98242,0.1589787,-60.249718,-73.23072,53.840546,-12.506115,-110.17798,-7.533985,0.628874
9616,123.615166,-26.907562,-19.152153,136.46848,0.7279896,-57.00096,-73.226,53.858833,-12.480566,-110.17798,-7.533985,0.628874
