millis,A0,A1,A2,B0,B1,B2
4193,75.417404,67.1775,-21.720755,-46.830067,77.59149,0.9182598
4203,75.17294,65.10254,-23.343903,-50.038933,78.22016,-1.7288432
4214,74.21809,62.683067,-25.340654,-52.165478,77.63877,-4.909381
4223,72.50006,60.17069,-27.535822,-52.988945,75.6676,-8.579535
4233,70.04994,57.12324,-30.277426,-53.92225,72.65445,-12.779315
4245,67.20252,53.58468,-33.434856,-54.621696,69.16371,-17.072935
4253,64.23733,50.023872,-36.5826,-54.145096,65.547165,-21.1173
4264,61.042908,46.765324,-39.55568,-51.425903,61.962685,-24.734257
4274,57.80313,44.110344,-42.14001,-47.41468,58.666794,-27.767357
4284,54.877304,42.061096,-44.27632,-43.802883,55.892933,-30.04831
4293,52.24194,40.69985,-45.973877,-40.051563,53.498566,-31.56481
4303,49.467224,39.946365,-47.425205,-35.67942,50.971054,-32.501957
4314,46.301594,39.53022,-48.82972,-31.983511,48.012863,-33.008118
4323,42.936523,38.989933,-50.292347,-29.736212,44.788025,-33.11467
4334,39.79279,38.26236,-51.596973,-28.63276,41.56525,-32.786
4345,36.991264,37.37702,-52.611053,-28.139364,38.43111,-32.074787
4354,34.473328,36.32221,-53.31384,-27.887287,35.208588,-31.12988
4363,32.09595,34.974445,-53.80748,-27.887123,31.883705,-29.99411
4373,29.834282,33.343117,-54.07042,-27.277174,28.785301,-28.686447
4384,27.384844,31.262226,-54.16991,-26.76509,25.484735,-27.118143
4394,25.442217,29.196726,-53.63919,-26.681194,21.565275,-25.350454
4409,23.684526,26.770468,-52.645596,-26.45151,17.256317,-23.321407
4413,22.140993,23.989614,-51.125286,-26.215729,12.685878,-21.043121
4425,20.844418,20.860317,-49.14174,-26.012524,7.8926654,-18.637806
4433,19.716053,17.391657,-46.830875,-25.969015,3.107839,-16.173195
4445,18.75138,13.781198,-44.29002,-26.035559,-1.428389,-13.698459
4454,17.945122,10.243208,-41.579098,-26.179585,-5.49851,-11.251358
4464,17.285015,6.931362,-38.79047,-26.326376,-9.18916,-8.953159
4476,16.813066,3.8333018,-36.046535,-26.405926,-12.688909,-6.862216
4484,16.574074,1.0123596,-33.38601,-26.192316,-15.894772,-4.9675417
4493,16.682198,-1.4641889,-30.84712,-25.855333,-18.74453,-3.2500925
4508,16.940222,-3.8693097,-28.360565,-25.501886,-21.479185,-1.6071308
4514,17.427532,-6.262648,-25.964005,-24.868294,-24.169748,-0.16847351
4523,18.250715,-8.667607,-23.587011,-23.916868,-26.94765,1.0772808
4533,19.47487,-11.132316,-21.23151,-22.531729,-29.65092,2.1618233
4543,21.17522,-13.323014,-18.865412,-20.397615,-31.770966,3.0218642
4553,23.332987,-14.743098,-16.465958,-17.53953,-32.99784,3.8072608
4564,25.295458,-15.08917,-13.710548,-14.581607,-33.92057,5.1914287
4574,26.84264,-14.206666,-10.903457,-11.647567,-34.465076,6.521498
4583,28.683363,-13.008029,-8.368317,-8.988056,-34.375565,8.191954
4593,30.160099,-11.497505,-5.718011,-6.476523,-33.824196,9.872111
4604,31.256836,-9.640918,-3.1232417,-4.095664,-33.16828,11.407849
4618,32.107315,-7.695536,-0.6827152,-1.8709201,-32.587955,12.769141
4625,32.63423,-5.92239,1.5666977,0.36748895,-31.850464,13.885674
4635,33.222496,-4.1925793,3.4716694,2.5694237,-30.583595,14.775062
4644,33.89645,-2.0688086,5.036346,4.489529,-28.734785,15.752217
4654,34.654835,0.41947025,6.3069243,6.1111145,-26.317137,16.799507
4664,35.41313,2.9937835,7.3299985,7.399633,-23.404276,17.979784
4674,36.220238,5.4895935,8.1739855,8.33043,-20.29685,19.377888
4684,37.052177,8.230335,9.095536,8.983941,-17.012054,21.074434
4695,37.898632,11.693854,10.233546,9.424537,-13.334762,23.045448
4704,39.005447,15.389744,11.53606,9.878666,-9.695344,24.86593
4714,40.187138,18.551815,12.801961,10.285068,-7.0129857,26.37308
4724,41.13641,20.865765,13.807308,10.317441,-5.414343,27.475044
4736,41.96452,22.695345,14.39093,10.040999,-3.8662221,28.192568
