millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
3742,84.65172,-20.265406,-3.0110946,-63.554127,-48.842464,5.209911,-95.32179,-76.17864,6.283747,-50.335194,-35.86416,-3.1942618,-129.809,6.1922855,0.13211861,58.91574,-0.23410103,-1.9317613,95.60689,20.315792,17.675873,34.17093,-6.7072806,0.18176146,-164.21254,53.477303,8.8410425,-108.24811,52.37244,3.4155757
3761,86.067154,-24.515862,-4.183425,-64.53439,-49.895817,5.902258,-96.932976,-74.430115,8.001274,-50.478207,-35.038647,-2.708307,-129.932,5.8982034,0.2440246,58.958027,-0.82960457,-1.9715806,92.1478,16.5633,17.79453,33.792927,-9.035294,0.5069917,-164.16443,53.389896,8.847261,-108.09992,52.86269,3.3532846
3783,86.26984,-25.141966,-4.70115,-64.9022,-50.176212,6.2048264,-96.98353,-75.637474,8.016605,-51.38932,-36.138622,-2.8018143,-129.73055,6.4739814,0.3591467,58.83867,-1.457708,-2.0424538,90.35704,15.25047,15.869565,34.573727,-20.789701,0.7153967,-164.24823,53.46644,8.916518,-107.99185,53.024075,3.4617105
3802,86.13589,-26.513077,-3.8637326,-66.224686,-50.845337,7.500176,-94.94893,-81.73929,5.454407,-55.39371,-40.858517,-1.0240655,-129.41127,6.269094,0.64478767,58.588165,-2.7019444,-1.5304122,94.79429,11.315133,15.636374,34.242817,-16.824697,-3.4209054,-164.27925,53.522804,8.875798,-108.036446,53.349827,3.0816073
3824,84.0044,-29.18521,-1.4780076,-65.67803,-50.203716,7.514408,-92.33043,-87.1817,2.2185957,-57.30066,-43.32672,-1.1043298,-130.37024,0.77931136,1.6471891,58.48466,-5.3936296,-0.88704824,98.54561,10.688808,11.849518,37.888123,-17.593958,-2.7696426,-164.23904,53.477837,8.581388,-107.89607,53.360535,3.2926235
3842,84.02629,-29.183466,-1.734161,-66.20528,-50.668015,7.641864,-92.35674,-87.30821,2.2579932,-57.97443,-44.16836,-1.0038799,-130.28337,0.85319126,1.1198623,58.180504,-5.085067,-0.8132712,98.24431,10.410864,9.9786415,38.22488,-15.885755,-2.7543368,-164.28273,53.59908,8.497898,-107.895966,53.720364,3.0726392
3861,84.03141,-29.596138,-1.8323381,-66.55124,-51.22281,7.63477,-92.03789,-87.22532,1.8984296,-58.2807,-44.640083,-1.1207591,-129.82767,0.80334073,0.9397935,58.18795,-6.5804343,-0.6702649,98.460236,10.160802,10.1827545,38.322697,-17.551603,-2.449307,-164.277,53.62653,8.586919,-107.86208,53.44283,3.2628665
3882,84.03529,-29.373959,-1.9636209,-66.333664,-50.86737,7.6712356,-92.31143,-87.13572,2.189928,-58.150085,-44.43116,-1.3000197,-129.6222,0.6125555,1.1460661,58.122044,-5.521472,-0.8750501,97.58822,8.602755,9.990484,38.343964,-20.93715,-2.9112453,-164.19814,53.553173,8.648595,-107.80726,53.432785,3.3466563
3902,83.95321,-29.167421,-1.9054838,-66.27663,-50.701035,7.714493,-92.416824,-87.056595,2.2975583,-58.240356,-44.45069,-1.3021631,-130.03075,0.4534985,1.013761,58.090786,-5.7600555,-0.73267716,97.9345,8.725751,9.955574,38.16333,-23.259167,-3.5188632,-164.21252,53.5722,8.605271,-107.81264,53.57845,3.2519057
3962,83.93394,-29.434309,-2.0309927,-66.39813,-50.86136,7.721364,-92.238914,-86.848145,2.0870566,-58.438404,-44.73525,-1.3904592,-129.71744,0.87814724,1.091909,57.967117,-5.387708,-0.7217469,98.05808,10.032532,11.782483,38.37522,-20.042206,-3.5490851,-164.21596,53.570835,8.643533,-107.75085,53.472485,3.4142687
3983,84.180595,-32.487606,-0.7666773,-67.509705,-52.242725,8.184199,-92.395035,-86.88378,2.2567458,-57.115086,-43.016994,-1.3800858,-129.66486,0.88035715,1.3332031,58.214348,-5.168114,-0.9961563,98.17376,9.308346,12.129123,38.507706,-19.772987,-3.6485407,-164.23161,53.546944,8.686521,-107.80694,53.468853,3.3705106
4043,90.617165,-58.08721,-3.1392193,-73.113434,-60.709126,9.437162,-93.30671,-86.51571,3.2639368,-57.491444,-43.52486,-1.8620545,-129.37173,1.712146,1.6141558,58.316208,-4.2505293,-1.3093054,98.229965,8.974742,12.443458,38.95585,-19.563856,-4.0200467,-164.2938,53.519726,8.824076,-107.66304,53.55392,3.517628
4062,92.12897,-60.8556,-4.2819133,-74.495735,-63.532,8.197811,-93.368385,-86.40453,3.3145847,-57.694733,-43.806133,-1.8539797,-129.40305,1.3693017,1.7997485,58.30843,-4.5152297,-1.2795625,98.17841,8.714338,12.471403,38.9978,-19.966928,-4.0438123,-164.28522,53.507877,8.842516,-107.664536,53.470177,3.559053
4121,102.56151,-63.431873,-14.630572,-76.84018,-73.80411,1.9445869,-93.456154,-86.310974,3.395794,-57.79977,-44.038933,-2.014518,-129.40935,1.0950115,1.9873319,58.260796,-4.628015,-1.2917383,98.06744,8.376275,12.486172,39.043846,-20.314293,-4.096421,-164.28629,53.516804,8.865479,-107.612564,53.531036,3.5981781
4143,106.18752,-62.160084,-17.701761,-74.840744,-74.81207,-1.131773,-93.4696,-86.29541,3.4093287,-57.829178,-44.085495,-2.051025,-129.41788,1.1014707,1.9903085,58.26391,-4.614901,-1.3007756,98.0569,8.33742,12.483503,39.05693,-20.360106,-4.113033,-164.27925,53.522804,8.875798,-107.5988,53.593964,3.5895534
4201,116.774704,-53.540157,-25.88866,-64.603264,-70.68315,-12.401395,-93.49673,-86.27198,3.4375367,-57.97952,-44.203083,-2.1300633,-129.491,0.950403,2.0338573,58.29108,-4.65812,-1.3099463,97.97458,8.063794,12.459525,39.105217,-20.536345,-4.188405,-164.26497,53.530308,8.911981,-107.59542,53.652016,3.5892346
4222,121.31336,-48.758274,-29.671803,-61.37237,-68.39605,-16.658192,-93.50345,-86.26802,3.4446907,-57.996536,-44.21403,-2.1576395,-129.49765,0.95352566,2.0273955,58.30284,-4.648615,-1.3130803,97.964,8.016657,12.436827,39.112846,-20.576307,-4.2017903,-164.26935,53.530327,8.901903,-107.59992,53.627808,3.5935998
4282,136.572,-28.508953,-41.01358,-52.980183,-60.046684,-27.919071,-93.54422,-86.23083,3.4829152,-57.969563,-44.1837,-2.1997733,-129.50562,0.9912496,2.02965,58.29346,-4.5499353,-1.3461459,97.93169,7.8796134,12.363812,39.13069,-20.635695,-4.2450376,-164.28189,53.5168,8.875554,-107.630684,53.56283,3.6007075
