millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
5648,2.166686,-1.1420285,-44.180065,159.62648,-5.454537,-11.681586,135.85744,9.794468,7.770054,-60.956795,17.380676,-25.32316,94.383804,1.962821,2.3953936,-101.42547,2.1091697,-4.0214596,-48.831047,-24.228632,3.3760087
5660,2.1770277,-1.1432407,-44.180244,159.64102,-5.453243,-11.682509,135.84918,9.794693,7.7693176,-60.943474,17.382547,-25.320984,94.37392,1.9580973,2.3900824,-101.42553,2.1145813,-4.017023,-48.805904,-24.243023,3.375341
5674,2.1873696,-1.1444529,-44.18042,159.6544,-5.4515,-11.682794,135.8489,9.797219,7.7757335,-60.93015,17.384417,-25.31881,94.3644,1.96306,2.3950448,-101.434425,2.114218,-4.0171714,-48.768223,-24.256943,3.3726325
5685,2.197711,-1.145665,-44.180595,159.66808,-5.457059,-11.6824255,135.8489,9.797219,7.7757335,-60.924213,17.38253,-25.324574,94.35488,1.9585227,2.38976,-101.4442,2.11411,-4.0174265,-48.738407,-24.265873,3.3680732
5698,2.2080522,-1.1468772,-44.18077,159.6826,-5.455764,-11.683349,135.84152,9.804652,7.772527,-60.910892,17.3844,-25.322397,94.355255,1.9634603,2.3949084,-101.44331,2.1138546,-4.017319,-48.705093,-24.279001,3.3666294
5710,2.2183936,-1.1480893,-44.180946,159.696,-5.4540215,-11.68363,135.84152,9.804652,7.772527,-60.904953,17.382515,-25.32816,94.345375,1.9634861,2.3947213,-101.45307,2.1137464,-4.017575,-48.67551,-24.294174,3.3646488
5724,2.2313647,-1.1428266,-44.18099,159.70967,-5.45958,-11.683266,135.83327,9.804876,7.771791,-60.892082,17.378815,-25.323069,94.33585,1.9636992,2.3945596,-101.46198,2.1178036,-4.0231233,-48.641914,-24.30105,3.3606012
5734,2.2417057,-1.1440384,-44.181164,159.7242,-5.4582853,-11.684189,135.83327,9.804876,7.771791,-60.87544,17.38258,-25.320585,94.326324,1.9639121,2.3943977,-101.47087,2.1174397,-4.0232716,-48.604168,-24.314959,3.3578525
5746,2.2520463,-1.1452503,-44.181343,159.73758,-5.4565415,-11.68447,135.83327,9.804876,7.771791,-60.8695,17.380695,-25.326351,94.31682,1.9641253,2.3942356,-101.47087,2.1174397,-4.0232716,-48.578945,-24.329348,3.3571327
5759,2.2626843,-1.1464292,-44.18415,159.75124,-5.4621005,-11.68411,135.83327,9.804876,7.771791,-60.85617,17.382566,-25.324175,94.3073,1.9643382,2.3940737,-101.47975,2.1126564,-4.0180173,-48.540916,-24.337,3.3517833
5771,2.273026,-1.1476406,-44.18433,159.76576,-5.4608045,-11.68503,135.82661,9.808361,7.777677,-60.840225,17.380655,-25.328068,94.3073,1.9643382,2.3940737,-101.48953,2.1169672,-4.023675,-48.511257,-24.352173,3.3497615
5784,2.2863717,-1.1426462,-44.17788,159.77914,-5.4590616,-11.685313,135.8256,9.814838,7.7749977,-60.83736,17.37698,-25.32485,94.297775,1.964551,2.3939118,-101.48864,2.1122928,-4.018165,-48.477886,-24.365292,3.3482666
5796,2.2967148,-1.1438586,-44.178062,159.7928,-5.4646206,-11.684955,135.81834,9.808587,7.77694,-60.824028,17.378847,-25.322674,94.28825,1.9647641,2.39375,-101.49842,2.1166031,-4.0238233,-48.447933,-24.3742,3.3436499
5808,2.3070576,-1.1450709,-44.178246,159.80733,-5.463325,-11.685875,135.81735,9.8150625,7.7742615,-60.810703,17.380716,-25.320496,94.278725,1.9602231,2.388468,-101.50731,2.1162393,-4.023971,-48.414536,-24.387318,3.3421426
5821,2.3174002,-1.146283,-44.17842,159.81345,-5.4622293,-11.685697,135.81735,9.8150625,7.7742615,-60.80141,17.38073,-25.325954,94.268845,1.9602485,2.388281,-101.5162,2.1158752,-4.024118,-48.376713,-24.401217,3.339337
5834,2.3303728,-1.1410204,-44.178448,159.82797,-5.4609327,-11.686619,135.80908,9.815289,7.7735243,-60.78808,17.382599,-25.323776,94.26921,1.9604352,2.3883064,-101.5162,2.1158752,-4.024118,-48.346714,-24.410124,3.3347
5845,2.3407154,-1.1422325,-44.178623,159.84163,-5.4664917,-11.686263,135.81096,9.81602,7.7737308,-60.77214,17.380692,-25.327671,94.25967,1.9555218,2.392907,-101.52508,2.1155114,-4.0242662,-48.313297,-24.423233,3.3331711
5857,2.3510575,-1.1434445,-44.17881,159.85521,-5.4636073,-11.67971,135.8027,9.816245,7.772994,-60.769264,17.37701,-25.324453,94.25014,1.9557347,2.392746,-101.533966,2.1151474,-4.024414,-48.28353,-24.438402,3.3310907
5870,2.3613997,-1.1446567,-44.17899,159.86972,-5.4623117,-11.680633,135.8027,9.816245,7.772994,-60.755936,17.37888,-25.322273,94.24026,1.9557606,2.3925588,-101.543724,2.1150389,-4.0246696,-48.24538,-24.44603,3.3256848
