millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2
2939,2.5027368,-8.504611,36.04523,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2949,-15.942136,23.255056,50.932514,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2958,-1.9570867,-1.0079153,78.74401,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2967,6.7137947,-11.679704,76.71608,105.722755,-18.770779,6.0149627,-10.537532,2.1278949,11.860869,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2978,-0.7417728,1.251184,88.68055,105.722755,-18.770779,6.0149627,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2988,4.7235146,-8.380537,75.44086,105.72478,-18.769485,6.0053573,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2998,15.195236,-16.367893,40.168453,105.72478,-18.769485,6.0053573,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
3009,-25.758305,46.853966,9.332201,105.72478,-18.769485,6.0053573,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
3018,4.523238,-11.036888,44.10073,105.722435,-18.77496,6.0093403,-10.537532,2.1278949,11.860869,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3028,2.4839425,-6.8350205,79.981674,105.722435,-18.77496,6.0093403,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01779,7.764938,4.6636343
3038,-0.77283424,2.3271043,73.91969,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3049,-16.223087,18.794321,61.53206,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
3060,-7.004978,10.677658,78.30218,105.72478,-18.769485,6.0053573,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
3068,3.9008849,-6.090906,81.038445,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01779,7.764938,4.6636343
3078,3.4850516,-5.106005,74.47798,105.722435,-18.77496,6.0093403,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01779,7.764938,4.6636343
3088,-3.241311,10.282525,72.57904,105.72478,-18.769485,6.0053573,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
3099,-3.572509,7.7989197,66.811646,105.72478,-18.769485,6.0053573,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3109,1.7391139,2.2153242,-85.41694,105.72478,-18.769485,6.0053573,-10.537532,2.1278949,11.860869,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3118,-0.87449825,0.69928676,70.31778,105.73433,-18.770473,6.00464,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01779,7.764938,4.6636343
3129,-1.8257127,-3.6427186,-84.743546,105.73433,-18.770473,6.00464,-10.537532,2.1278949,11.860869,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3138,-1.7283599,-3.6622581,-82.941635,105.73433,-18.770473,6.00464,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3148,-9.043715,-13.271316,-72.75199,105.73198,-18.77595,6.008623,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01779,7.764938,4.6636343
3159,-5.123666,-9.223846,-78.878136,105.73198,-18.77595,6.008623,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01857,7.758548,4.6664968
3168,-5.601681,-9.530912,-63.561398,105.73198,-18.77595,6.008623,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
