millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2
48886,-165.14954,-74.1045,-3.7548468,130.56361,-51.754803,4.2170534,53.90548,-16.517244,10.890828,151.09538,-70.843315,1.6055112,5.921783,24.279114,-7.940593,-150.22589,-9.533355,0.7963069,-101.96956,1.555338,-2.5294578,-13.706686,6.464657,4.3659964,-64.8037,-7.209277,32.181858,126.24443,0.7532266,10.256158,76.862045,-20.760452,-16.404865
48907,-165.15797,-74.1126,-3.7607956,130.64658,-51.69026,4.1933494,53.90548,-16.517244,10.890828,151.08527,-70.85293,1.6063923,5.922374,24.28593,-7.940164,-150.23094,-9.494355,0.78496957,-101.959854,1.5957649,-2.5235362,-13.701243,6.4868073,4.377734,-64.803,-7.214737,32.185295,126.24443,0.7532266,10.256158,76.62783,-22.400497,-15.012222
48927,-165.13629,-74.10727,-3.7646909,130.75633,-51.598976,4.1643267,53.914818,-16.530905,10.884363,151.08527,-70.85293,1.6063923,5.930956,24.300064,-7.9378033,-150.22487,-9.342751,0.75824165,-101.96077,1.6068043,-2.5147798,-13.694994,6.4943047,4.3842397,-64.80599,-7.2240844,32.182983,126.24419,0.7376517,10.256325,76.035736,-24.889935,-14.000119
48949,-165.154,-74.097885,-3.7799902,130.8331,-51.525692,4.154512,53.916683,-16.549597,10.874505,151.07515,-70.86254,1.6072737,5.934613,24.328812,-7.936488,-150.23045,-9.206033,0.735947,-101.96078,1.6166381,-2.5158005,-13.688537,6.501016,4.3838205,-64.81266,-7.237321,32.174915,126.24387,0.7158727,10.259667,76.10668,-27.590683,-13.296846
48970,-165.1528,-74.09386,-3.7796593,130.8138,-51.541523,4.1630445,53.912224,-16.573988,10.877963,151.08527,-70.85293,1.6063923,5.9590325,24.471588,-7.9279847,-150.23042,-9.139942,0.73116803,-101.96078,1.6166381,-2.5158005,-13.688231,6.494083,4.384666,-64.81197,-7.242781,32.178364,126.24382,0.7096686,10.262849,76.53398,-31.872555,-12.629384
48990,-165.17926,-74.03739,-3.8073778,130.8188,-51.532925,4.160202,53.90985,-16.586275,10.872602,151.08527,-70.85293,1.6063923,6.0036044,24.666039,-7.90736,-150.22089,-9.155097,0.7338028,-101.96077,1.6112047,-2.5202076,-13.687821,6.492512,4.3708134,-64.824425,-7.256838,32.18139,126.24355,0.69409376,10.263013,77.03856,-38.913307,-12.043056
49010,-165.15701,-73.94464,-3.840962,130.8188,-51.532925,4.160202,53.896164,-16.5816,10.883044,151.09068,-70.85458,1.5966784,6.0269456,24.795177,-7.899616,-150.22089,-9.155097,0.7338028,-101.959854,1.5957649,-2.5235362,-13.693869,6.484229,4.3573813,-64.82162,-7.2653666,32.167976,126.24335,0.684723,10.259997,75.45097,-46.47293,-9.09504
49031,-165.12585,-73.83033,-3.8625202,130.8188,-51.532925,4.160202,53.89978,-16.581778,10.881835,151.09238,-70.84986,1.5905536,6.025169,24.774738,-7.9009185,-150.22089,-9.155097,0.7338028,-101.97829,1.4984359,-2.5485315,-13.700446,6.4094067,4.316293,-64.82391,-7.2801747,32.169106,126.243286,0.678519,10.263178,74.278595,-51.42105,-6.2776117
49053,-165.14365,-73.8397,-3.8485775,130.8281,-51.53429,4.157354,53.89978,-16.581778,10.881835,151.08295,-70.84205,1.5783125,6.0257616,24.78155,-7.9004846,-150.22089,-9.155097,0.7338028,-101.986786,1.4045273,-2.5885987,-13.698823,6.3111954,4.2573905,-64.82827,-7.278607,32.159916,126.25216,0.6779807,10.263499,73.23742,-53.424816,-4.463926
49073,-165.13174,-73.84647,-3.8587544,130.81645,-51.53925,4.1690907,53.90787,-16.58298,10.88194,151.0833,-70.83332,1.5717505,6.0263534,24.788363,-7.900049,-150.21974,-9.163607,0.7387658,-102.00522,1.3692873,-2.5901914,-13.703805,6.281308,4.2395782,-64.83195,-7.2824965,32.15416,126.243454,0.69713116,10.253636,72.81903,-54.553436,-3.5617483
49094,-165.1383,-73.83704,-3.8583634,130.81645,-51.53925,4.1690907,53.90787,-16.58298,10.88194,151.0479,-70.8518,1.5775492,6.034366,24.795671,-7.8980813,-150.21857,-9.172115,0.7437286,-101.98697,1.4513654,-2.5686183,-13.6932535,6.3272114,4.276895,-64.82827,-7.278607,32.159916,126.24382,0.7096686,10.262849,72.701485,-55.706036,-3.0282066
49116,-165.13951,-73.84107,-3.8586996,130.83983,-51.519825,4.1527796,53.894913,-16.569138,10.889615,151.0226,-70.86066,1.5824665,6.034366,24.795671,-7.8980813,-150.21904,-9.170352,0.7369877,-101.987015,1.4666331,-2.5652366,-13.68699,6.3347163,4.283392,-64.8165,-7.259091,32.153442,126.22703,0.6611743,10.257037,72.33164,-56.800713,-2.491257
49135,-165.15851,-73.838356,-3.8541515,130.83838,-51.521137,4.1666064,53.898537,-16.569317,10.888406,151.03642,-70.85743,1.5779957,6.0322776,24.78886,-7.891718,-150.22205,-9.146588,0.72883976,-101.987015,1.4666331,-2.5652366,-13.68699,6.3347163,4.283392,-64.82124,-7.222982,32.158237,126.227234,0.6705456,10.260054,72.190285,-57.612984,-1.8895519
49156,-165.10199,-73.84918,-3.847608,130.81645,-51.53925,4.1690907,53.908493,-16.589209,10.878654,151.02124,-70.85667,1.5820302,6.033183,24.782045,-7.8989515,-150.21974,-9.163607,0.7387658,-101.987,1.461199,-2.569642,-13.68699,6.3347163,4.283392,-64.7956,-7.19365,32.16963,126.22711,0.6581388,10.266416,72.0545,-57.329727,-1.5831965
49176,-165.10199,-73.84918,-3.847608,130.78899,-51.562233,4.193182,53.894802,-16.584536,10.8891,151.0479,-70.8518,1.5775492,6.0374665,24.817614,-7.8971744,-150.21742,-9.180623,0.74869114,-101.987015,1.4666331,-2.5652366,-13.68699,6.3347163,4.283392,-64.83316,-7.26038,32.14899,126.22718,0.6643422,10.263234,71.76349,-56.261852,-1.564606
49197,-165.1383,-73.83704,-3.8583634,130.71284,-51.61692,4.20017,53.8978,-16.57848,10.891174,151.03236,-70.859764,1.5881459,6.0374665,24.817614,-7.8971744,-150.21153,-9.2421875,0.76132923,-101.97829,1.5028359,-2.5539603,-13.682025,6.3645935,4.301209,-64.82965,-7.2676883,32.153034,126.22738,0.67371345,10.26625,71.13041,-54.86984,-0.0038660245
49218,-165.08913,-73.812874,-3.8547971,130.73154,-51.610153,4.2016315,53.892315,-16.559607,10.90224,151.04582,-70.865234,1.5902363,6.033775,24.788858,-7.8985167,-150.20795,-9.286739,0.7640408,-101.969505,1.52817,-2.5514913,-13.67876,6.3802323,4.314006,-64.82965,-7.2676883,32.153034,126.22894,0.65225565,10.270134,70.16007,-52.86567,0.47434142
49239,-165.14243,-73.85178,-3.839183,130.70105,-51.63138,4.204748,53.89469,-16.547321,10.9076,151.02086,-70.86538,1.5885922,6.036011,24.760597,-7.8915267,-150.20723,-9.293483,0.7622623,-101.97829,1.5028359,-2.5539603,-13.682323,6.3715277,4.3003645,-64.83247,-7.265839,32.15243,126.22704,0.6519354,10.269595,68.87899,-49.848442,0.58998585
49260,-165.06445,-73.85728,-3.836518,130.65555,-51.66885,4.2235723,53.896046,-16.54439,10.9015465,151.03775,-70.86141,1.5784316,6.0203466,24.675339,-7.904271,-150.20302,-9.325749,0.77536875,-101.96853,1.5028992,-2.553791,-13.682025,6.3645935,4.301209,-64.82582,-7.2526,32.1605,126.22711,0.6581388,10.266416,67.43943,-45.752094,0.62762153
49281,-165.13847,-73.92707,-3.813633,130.56238,-51.737022,4.245202,53.895424,-16.538157,10.904833,151.04582,-70.865234,1.5902363,6.0203466,24.675339,-7.904271,-150.19629,-9.39406,0.7862209,-101.959785,1.5445317,-2.5381002,-13.6728,6.3946676,4.319663,-64.83477,-7.280647,32.15356,126.23584,0.6544321,10.260539,66.44472,-40.821335,0.3831314
49301,-165.11157,-73.935196,-3.8182387,130.47153,-51.8124,4.26574,53.894287,-16.510298,10.91192,151.03566,-70.874855,1.5911183,6.0258527,24.667519,-7.902781,-150.1984,-9.515062,0.80598134,-101.95192,1.5863345,-2.5224597,-13.661797,6.4328213,4.3509183,-64.83125,-7.287955,32.157597,126.22718,0.6643422,10.263234,66.567474,-35.1454,-0.4323521
49322,-165.12404,-73.94192,-3.8140771,130.39485,-51.880547,4.2805877,53.8893,-16.487644,10.914405,151.01877,-70.878815,1.601278,6.0087104,24.58226,-7.9087124,-150.19238,-9.640941,0.81666416,-101.93336,1.6280206,-2.506577,-13.65767,6.477338,4.3739867,-64.83179,-7.271298,32.155872,126.22703,0.6611743,10.257037,67.21275,-28.275042,-1.1164808
49343,-165.10695,-73.98089,-3.7957249,130.26952,-51.978817,4.315494,53.88868,-16.481413,10.917692,151.03395,-70.87958,1.5972426,5.996501,24.482363,-7.9135747,-150.18597,-9.777666,0.8389488,-101.93336,1.633453,-2.502169,-13.658177,6.485055,4.380069,-64.82896,-7.273148,32.156475,126.22711,0.6581388,10.266416,67.95006,-19.999655,-1.1819302
49365,-165.15257,-74.04129,-3.771047,130.1779,-52.054085,4.336133,53.88879,-16.466017,10.918207,151.0353,-70.88356,1.5976789,5.9704466,24.317654,-7.9298196,-150.18509,-9.974973,0.8752666,-101.933365,1.6432871,-2.5031872,-13.651927,6.4925494,4.386577,-64.83408,-7.286105,32.157,126.2269,0.6487674,10.2634,68.74898,-12.12141,-1.026642
49385,-165.1745,-74.13399,-3.737429,130.1703,-52.055428,4.3401375,53.902264,-16.448877,10.925768,151.03358,-70.88828,1.6038024,5.9492693,24.195337,-7.943838,-150.19191,-10.111292,0.89889437,-101.91566,1.7004071,-2.483952,-13.650831,6.5451984,4.4159513,-64.83707,-7.2954535,32.154686,126.2357,0.6420246,10.2669,69.39115,-5.934654,-0.87388057
49405,-165.17448,-74.202675,-3.736936,130.16342,-52.06126,4.341869,53.90402,-16.430363,10.934423,151.05315,-70.88648,1.615159,5.9116545,23.99457,-7.96322,-150.19064,-10.1338825,0.9001981,-101.89693,1.77804,-2.4568412,-13.642062,6.6203303,4.463789,-64.849525,-7.309512,32.15771,126.2357,0.6420246,10.2669,70.08337,-0.3845565,-0.56013054
49426,-165.1863,-74.29932,-3.6878965,130.14893,-52.06844,4.3476048,53.90526,-16.442825,10.92785,151.04776,-70.8848,1.6248734,5.858762,23.785982,-7.9858823,-150.18806,-10.150879,0.91011775,-101.879005,1.8558428,-2.4297535,-13.629172,6.7018023,4.5045285,-64.8532,-7.313403,32.151955,126.23564,0.635821,10.270081,70.79984,6.778566,0.27502936
49447,-165.23907,-74.41896,-3.6621592,130.12756,-52.081444,4.3550735,53.91562,-16.44714,10.932811,151.05756,-70.883896,1.630552,5.8465724,23.743088,-7.9894953,-150.19214,-10.179703,0.9103627,-101.8708,1.9183339,-2.4062219,-13.629233,6.7698536,4.5460877,-64.85618,-7.322751,32.149643,126.24249,0.62255454,10.276221,71.74289,15.416788,1.2002392
49468,-165.23636,-74.42696,-3.6524193,130.05968,-52.141346,4.3743167,53.91562,-16.44714,10.932811,151.07715,-70.88208,1.6419089,5.8465724,23.743088,-7.9894953,-150.19518,-10.226137,0.9204271,-101.86141,2.0111697,-2.37583,-13.620941,6.851863,4.593109,-64.85848,-7.33756,32.150764,126.25122,0.6096063,10.2829,73.359146,22.72233,2.1323683
49488,-165.2295,-74.43641,-3.6527927,129.82756,-52.330105,4.414953,53.914997,-16.440907,10.936098,151.11667,-70.86974,1.6580652,5.843534,23.721165,-7.990361,-150.19121,-10.3793335,0.9534109,-101.860664,2.1136153,-2.3465908,-13.629273,6.9424763,4.6455393,-64.86161,-7.3581104,32.146725,126.26658,0.5740184,10.29269,75.694,28.15421,2.613603
49510,-165.24345,-74.44714,-3.6489253,129.64093,-52.481453,4.4367833,53.91873,-16.42569,10.935415,151.14168,-70.8696,1.6597091,5.8319416,23.685099,-7.993542,-150.17307,-10.658878,0.9964285,-101.86048,2.134309,-2.3387752,-13.633403,6.9660497,4.6640115,-64.86689,-7.382268,32.14552,126.284256,0.55748516,10.309056,78.346794,35.288498,2.9874818
49530,-165.23657,-74.45659,-3.6492977,129.6582,-52.47198,4.4370313,53.96274,-16.427069,10.937872,151.14168,-70.8696,1.6597091,5.805153,23.584213,-8.001162,-150.16504,-10.84813,1.0272,-101.86048,2.1387138,-2.3441982,-13.633952,6.973756,4.6700916,-64.87217,-7.406423,32.144318,126.29122,0.55662507,10.30883,81.12798,44.637497,3.4947813
49550,-165.23285,-74.49016,-3.636113,129.63658,-52.484936,4.4445343,53.972355,-16.440556,10.945591,151.14168,-70.8696,1.6597091,5.7675915,23.305979,-8.029381,-150.16438,-10.864015,1.0302749,-101.86041,2.1441436,-2.3397856,-13.634277,6.980688,4.6692476,-64.877716,-7.459663,32.12562,126.29146,0.5659953,10.311852,83.81908,52.29027,4.5674076
